id,t,sensor3
16,49,-0.37483378
17,0,-0.39679341
17,1,-0.38203381
17,2,-0.37480462
17,3,-0.37359976
17,4,-0.37450341
17,5,-0.37751557
17,6,-0.38444354
17,7,-0.39408246
17,8,-0.40643233
17,9,-0.42209558
17,10,-0.44016856
17,11,-0.45703667
17,12,-0.46878411
17,13,-0.47541086
17,14,-0.47932668
17,15,-0.48203762
17,16,-0.48565222
17,17,-0.49107411
17,18,-0.49800209
17,19,-0.50493006
17,20,-0.50914709
17,21,-0.51065317
17,22,-0.51065317
17,23,-0.50944831
17,24,-0.50643614
17,25,-0.50462884
17,26,-0.50462884
17,27,-0.50854466
17,28,-0.51968966
17,29,-0.52993101
17,30,-0.53444926
17,31,-0.53475047
17,32,-0.52993101
17,33,-0.51366533
17,34,-0.49800209
17,35,-0.48836316
17,36,-0.48203762
17,37,-0.47480843
17,38,-0.46155491
17,39,-0.43655396
17,40,-0.40372139
17,41,-0.36155111
17,42,-0.31305528
17,43,-0.26516189
17,44,-0.23112445
17,45,-0.2190758
17,46,-0.21606364
17,47,-0.2190758
17,48,-0.23112445
17,49,-0.25823392
18,0,-1.2043557
18,1,-1.2019619
18,2,-1.1989695
18,3,-1.1971742
18,4,-1.1971742
18,5,-1.1989695
18,6,-1.2043557
18,7,-1.216325
18,8,-1.2312866
18,9,-1.2408621
18,10,-1.2432559
18,11,-1.2426575
18,12,-1.2372713
18,13,-1.2217112
18,14,-1.1941818
18,15,-1.1630617
18,16,-1.1391231
18,17,-1.1253584
18,18,-1.1187753
18,19,-1.114586
18,20,-1.1103967
18,21,-1.1032152
18,22,-1.0852612
18,23,-1.0445656
18,24,-0.96616671
18,25,-0.84048908
18,26,-0.67112352
18,27,-0.46764546
18,28,-0.2521981
18,29,-0.054704689
18,30,0.094911532
18,31,0.17869662
18,32,0.20861986
18,33,0.21460451
18,34,0.17271197
18,35,0.0051417992
18,36,-0.2521981
18,37,-0.46166081
18,38,-0.62324633
18,39,-0.7429393
18,40,-0.81834588
18,41,-0.85305684
18,42,-0.87220772
18,43,-0.86861693
18,44,-0.83989062
18,45,-0.77286255
18,46,-0.68907746
