age,position,minutes_in_game,appearances,minutes_played_home,minutes_played_away,minutes_on_bench,appearances_home,appearances_away,penalty_goals,goals_home,goals_away,penalty_misses,yellow_cards_overall,red_cards_overall,penalty_attempts,penalty_goals
28,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
31,Midfielder,2175.0,27,921,836,418.0,14,13,0,0,2,0,8,0,0,0
26,Midfielder,831.5,11,317,343,171.5,6,5,0,0,0,0,2,0,0,0
31,Forward,693.0,20,162,354,177.0,10,10,0,1,1,0,1,0,0,0
28,Forward,2066.0,26,932,756,378.0,14,12,3,3,4,0,1,0,3,3
32,Midfielder,158.0,7,23,90,45.0,2,5,0,0,0,0,1,0,0,0
29,Defender,1009.0,13,460,366,183.0,6,7,0,0,1,0,1,0,0,0
31,Midfielder,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
30,Defender,2249.5,28,979,847,423.5,14,14,0,0,0,0,5,0,0,0
34,Defender,448.5,8,36,275,137.5,3,5,0,0,0,0,0,0,0,0
27,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
30,Forward,562.0,16,256,204,102.0,7,9,0,1,0,0,0,0,0,0
30,Forward,222.0,10,57,110,55.0,5,5,0,1,0,0,0,0,0,0
31,Defender,1888.5,20,846,695,347.5,11,9,0,0,0,0,3,0,0,0
23,Forward,2797.5,32,1299,999,499.5,18,14,0,4,3,0,3,0,0,0
32,Goalkeeper,475.0,6,190,190,95.0,3,3,0,0,0,0,0,0,0,0
30,Goalkeeper,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,1,0,0,0
30,Forward,2734.0,34,1018,1144,572.0,18,16,0,2,1,0,4,0,0,0
33,Defender,4029.0,38,1719,1540,770.0,20,18,0,3,0,0,3,0,0,0
35,Midfielder,3097.5,35,1098,1333,666.5,17,18,0,4,2,0,3,0,0,0
28,Defender,195.0,6,45,100,50.0,4,2,0,0,0,0,0,0,0,0
24,Defender,2503.0,25,883,1080,540.0,11,14,0,1,0,0,2,0,0,0
29,Midfielder,3166.0,32,1381,1190,595.0,17,15,0,0,1,0,2,0,0,0
27,Defender,3081.0,31,1323,1172,586.0,17,14,0,0,1,0,7,1,0,0
22,Midfielder,3812.5,36,1450,1575,787.5,17,19,0,2,0,0,4,0,0,0
31,Defender,1232.5,15,550,455,227.5,8,7,0,1,0,0,1,0,0,0
24,Midfielder,2388.0,27,765,1082,541.0,12,15,0,1,4,0,4,0,0,0
24,Midfielder,2478.5,36,1079,933,466.5,18,18,0,1,3,0,2,0,0,0
22,Defender,71.0,3,56,10,5.0,2,1,0,0,0,0,0,0,0,0
32,Defender,3338.0,33,1163,1450,725.0,16,17,0,0,0,0,4,0,0,0
27,Midfielder,111.0,6,39,48,24.0,3,3,0,0,0,0,0,0,0,0
28,Defender,861.5,14,158,469,234.5,5,9,0,0,0,0,1,0,0,0
24,Midfielder,2976.5,35,1220,1171,585.5,17,18,0,7,2,0,11,0,0,0
25,Forward,486.0,14,186,200,100.0,6,8,0,2,1,0,0,0,0,0
21,Midfielder,419.0,10,227,128,64.0,6,4,0,1,0,0,0,0,0,0
24,Forward,2174.5,37,1033,761,380.5,19,18,0,3,3,0,3,0,0,0
23,Forward,454.0,12,175,186,93.0,5,7,0,0,0,0,0,0,0,0
21,Forward,1953.0,23,951,668,334.0,13,10,0,3,0,0,2,0,0,0
30,Midfielder,3650.5,39,1537,1409,704.5,20,19,4,11,5,0,2,0,4,4
27,Goalkeeper,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,2,0,0,0
21,Forward,116.0,7,14,68,34.0,2,5,0,0,1,0,0,0,0,0
28,Forward,1491.0,22,621,580,290.0,10,12,0,0,0,0,2,0,0,0
25,Midfielder,80.5,3,10,47,23.5,1,2,0,0,0,0,0,0,0,0
26,Defender,835.0,12,370,310,155.0,5,7,0,0,0,0,0,0,0,0
20,Midfielder,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
26,Defender,806.0,14,359,298,149.0,6,8,0,0,0,0,1,1,0,0
27,Midfielder,1953.0,22,684,846,423.0,10,12,0,2,1,0,4,0,0,0
28,Defender,2668.5,30,879,1193,596.5,14,16,0,0,0,0,0,0,0,0
29,Midfielder,1235.0,21,503,488,244.0,12,9,0,1,3,0,2,0,0,0
20,Midfielder,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
32,Midfielder,3686.5,35,1528,1439,719.5,18,17,0,0,1,0,15,1,0,0
29,Defender,2579.0,25,944,1090,545.0,12,13,0,0,1,0,2,0,0,0
31,Midfielder,979.5,13,276,469,234.5,6,7,0,0,0,0,2,1,0,0
29,Defender,2441.5,26,1183,839,419.5,15,11,0,3,1,0,12,0,0,0
27,Midfielder,2519.0,30,1061,972,486.0,15,15,0,1,0,0,6,0,0,0
33,Goalkeeper,250.0,4,100,100,50.0,2,2,0,0,0,0,0,0,0,0
31,Defender,236.0,7,221,10,5.0,6,1,0,0,0,0,2,0,0,0
32,Defender,1947.5,21,617,887,443.5,9,12,0,0,0,0,2,0,0,0
27,Midfielder,3886.5,38,1449,1625,812.5,18,20,0,4,5,0,3,0,0,0
36,Forward,795.5,22,518,185,92.5,12,10,0,1,0,0,2,0,0,0
35,Midfielder,2953.5,31,1296,1105,552.5,16,15,0,1,0,0,5,0,0,0
26,Defender,2279.5,26,1021,839,419.5,13,13,0,0,0,0,1,0,0,0
29,Defender,1350.0,14,525,550,275.0,7,7,0,0,0,0,0,0,0,0
27,Forward,1128.0,25,426,468,234.0,13,12,0,2,1,0,5,0,0,0
32,Midfielder,574.5,18,306,179,89.5,8,10,0,0,1,0,0,0,0,0
25,Midfielder,107.5,3,10,65,32.5,1,2,0,0,0,0,0,0,0,0
30,Midfielder,2587.0,31,1021,1044,522.0,15,16,0,1,0,0,1,0,0,0
33,Goalkeeper,160.0,3,10,100,50.0,1,2,0,0,0,0,0,0,0,0
24,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
28,Midfielder,1304.0,19,587,478,239.0,10,9,0,1,0,0,2,0,0,0
24,Forward,1202.5,31,712,327,163.5,15,16,1,5,2,0,1,0,1,1
32,Defender,2372.5,24,730,1095,547.5,9,15,0,0,0,0,0,0,0,0
35,Defender,57.5,4,11,31,15.5,2,2,0,0,0,0,0,0,0,0
30,Forward,64.5,7,27,25,12.5,4,3,0,0,0,0,0,0,0,0
22,Midfielder,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
26,Forward,31.0,3,10,14,7.0,1,2,0,0,0,0,0,0,0,0
30,Midfielder,3421.0,37,1423,1332,666.0,19,18,0,1,2,0,3,0,0,0
27,Forward,2673.5,32,959,1143,571.5,15,17,0,3,7,0,3,0,0,0
37,Forward,3103.0,40,1393,1140,570.0,20,20,4,8,5,0,5,0,4,4
33,Forward,1415.0,16,506,606,303.0,7,9,0,4,1,0,0,0,0,0
22,Midfielder,768.0,19,336,288,144.0,10,9,0,0,0,0,0,0,0,0
28,Midfielder,3119.5,31,1327,1195,597.5,16,15,0,2,2,0,10,0,0,0
30,Defender,745.0,9,460,190,95.0,6,3,0,0,0,0,3,0,0,0
31,Midfielder,3925.0,40,1612,1542,771.0,20,20,2,7,6,3,3,0,5,2
23,Midfielder,765.0,11,318,298,149.0,5,6,0,0,0,0,0,0,0,0
31,Midfielder,2444.0,27,1196,832,416.0,15,12,0,0,0,0,10,0,0,0
27,Forward,3132.5,30,1076,1371,685.5,13,17,4,6,11,0,5,0,4,4
28,Defender,3248.5,33,1360,1259,629.5,16,17,0,0,3,0,7,1,0,0
25,Midfielder,1995.5,28,842,769,384.5,14,14,0,0,1,0,4,0,0,0
0,Forward,44.0,4,26,12,6.0,2,2,0,0,0,0,0,0,0,0
23,Midfielder,1235.0,18,611,416,208.0,10,8,0,0,1,0,0,0,0,0
30,Midfielder,521.5,7,100,281,140.5,2,5,0,0,0,0,0,0,0,0
26,Defender,1886.5,21,892,663,331.5,11,10,0,0,0,0,3,0,0,0
27,Midfielder,1714.0,27,667,698,349.0,12,15,0,0,1,0,3,0,0,0
32,Midfielder,2164.5,27,660,1003,501.5,12,15,0,3,3,0,1,0,0,0
28,Forward,2516.5,33,1171,897,448.5,17,16,0,8,4,0,3,1,0,0
40,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
34,Goalkeeper,3670.0,35,1630,1360,680.0,19,16,0,0,0,0,0,0,0,0
27,Midfielder,151.0,5,19,88,44.0,2,3,0,0,0,0,0,0,0,0
31,Midfielder,3559.0,35,1417,1428,714.0,17,18,0,0,0,0,6,0,0,0
30,Midfielder,2735.0,33,995,1160,580.0,16,17,0,4,2,0,3,0,0,0
25,Forward,1350.0,32,471,586,293.0,16,16,0,1,0,0,4,0,0,0
26,Midfielder,2402.0,27,914,992,496.0,12,15,0,0,1,0,4,1,0,0
25,Forward,1202.0,24,599,402,201.0,14,10,0,1,0,0,1,0,0,0
24,Defender,3715.0,35,1540,1450,725.0,18,17,0,1,0,0,4,0,0,0
27,Forward,884.0,25,341,362,181.0,14,11,0,2,1,0,1,0,0,0
31,Midfielder,4148.0,39,1703,1630,815.0,20,19,0,1,0,0,6,0,0,0
24,Defender,509.5,8,250,173,86.5,4,4,0,0,0,0,0,0,0,0
27,Defender,2162.5,26,826,891,445.5,11,15,0,1,0,0,4,0,0,0
29,Midfielder,518.0,10,191,218,109.0,5,5,0,0,0,0,2,0,0,0
26,Midfielder,391.5,11,177,143,71.5,4,7,0,0,0,0,0,0,0,0
24,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
27,Defender,3493.0,34,1318,1450,725.0,17,17,0,0,0,0,4,0,0,0
20,Defender,25.0,3,10,10,5.0,1,2,0,0,0,0,0,0,0,0
24,Midfielder,3532.5,38,1545,1325,662.5,19,19,1,3,4,1,5,1,2,1
33,Midfielder,3878.5,40,1516,1575,787.5,20,20,0,1,2,0,7,0,0,0
30,Midfielder,39.0,3,24,10,5.0,2,1,0,0,0,0,0,0,0,0
35,Midfielder,2379.5,33,656,1149,574.5,13,20,3,0,5,0,7,1,3,3
28,Defender,3845.5,37,1630,1477,738.5,19,18,0,2,1,0,8,0,0,0
32,Defender,3299.5,31,1150,1433,716.5,14,17,0,0,1,0,6,0,0,0
26,Midfielder,2467.0,28,952,1010,505.0,14,14,1,5,2,0,4,0,1,1
25,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
34,Forward,3418.5,36,1428,1327,663.5,18,18,4,8,10,1,4,1,5,4
24,Defender,2688.5,27,1136,1035,517.5,14,13,0,0,0,0,7,0,0,0
33,Defender,2455.5,24,894,1041,520.5,11,13,0,0,1,0,5,1,0,0
28,Defender,2505.0,25,1140,910,455.0,14,11,0,0,0,0,2,0,0,0
34,Midfielder,487.5,13,258,153,76.5,7,6,0,0,0,0,1,0,0,0
30,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
32,Forward,1680.5,27,704,651,325.5,14,13,0,5,2,0,2,0,0,0
26,Defender,1419.0,20,513,604,302.0,10,10,0,0,0,0,2,0,0,0
21,Midfielder,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
29,Defender,191.0,6,62,86,43.0,3,3,0,0,0,0,0,0,0,0
29,Midfielder,2847.0,34,1122,1150,575.0,16,18,0,1,0,0,6,0,0,0
29,Midfielder,2679.5,34,908,1181,590.5,16,18,0,1,2,0,4,0,0,0
26,Midfielder,3132.0,32,1329,1202,601.0,16,16,0,0,2,0,12,0,0,0
28,Defender,2098.0,32,859,826,413.0,15,17,0,1,3,0,1,0,0,0
38,Forward,56.5,6,10,31,15.5,2,4,0,0,0,0,0,0,0,0
28,Midfielder,2045.5,29,973,715,357.5,16,13,1,1,3,0,3,0,1,1
34,Midfielder,3819.0,40,1542,1518,759.0,20,20,0,0,1,0,4,0,0,0
31,Defender,3415.5,32,1152,1509,754.5,14,18,0,0,0,0,5,0,0,0
27,Defender,2943.0,30,1224,1146,573.0,16,14,0,0,0,0,5,0,0,0
23,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
23,Defender,1368.5,18,503,577,288.5,9,9,0,0,0,0,2,0,0,0
33,Goalkeeper,2185.0,21,820,910,455.0,10,11,0,0,0,0,0,0,0,0
22,Forward,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
27,Midfielder,2540.0,30,857,1122,561.0,16,14,0,0,0,1,5,1,1,0
25,Goalkeeper,160.0,3,10,100,50.0,1,2,0,0,0,0,0,0,0,0
29,Defender,1917.5,24,821,731,365.5,11,13,0,1,0,0,3,0,0,0
31,Defender,756.0,9,201,370,185.0,4,5,0,1,0,0,1,0,0,0
30,Midfielder,2223.5,31,857,911,455.5,16,15,0,0,3,0,2,0,0,0
